session_id,user_pseudo_id,user_id,session_date,source,medium,device
S-e4d2e0f5-1db,GA-462ff47f-e510-4d9c-9660-d20692c3f519,U-64fe4e49,2024-12-19 02:15:26.044702,instagram,social,tablet
S-fd209929-302,GA-f0b536d6-c43b-4948-b142-df4100039bdc,,2024-12-20 01:59:47.949794,newsletter,social,desktop
S-d286cc37-f95,GA-b3c59b20-dbb7-4fd2-9191-fcb3c8e8b7ba,U-5966c1de,2024-12-21 19:33:46.708821,newsletter,social,desktop
S-a36cfa78-9ec,GA-40152dbf-522d-46d0-a08c-0e47894f98c4,U-6457b777,2024-12-23 03:06:18.241496,facebook,social,mobile
S-65dd1adc-b7a,GA-d8310fb3-1cca-43bc-ab73-0422b80ea12c,,2024-12-23 17:29:15.483931,newsletter,organic,desktop
S-a9e05f75-15b,GA-1ed049e4-ce57-4831-921d-7987f3103ee3,,2024-12-23 18:09:26.575130,google,social,mobile
S-9a7d2ef1-237,GA-b7218aa1-044e-4c9c-86d1-d24f5f8a47ce,U-1ead3029,2024-12-23 21:51:32.050561,direct,email,mobile
S-722b9c0b-8bb,GA-4734aa4c-72a3-43fe-8547-3dd9d0af7b1d,,2024-12-24 05:29:37.093509,direct,none,mobile
S-cbb9930f-ed7,GA-ff96ff2d-add9-4ed8-afbf-7e02f2bc9824,U-f173a0b6,2024-12-25 08:51:40.747287,instagram,organic,tablet
S-3d2e482b-0e0,GA-40152dbf-522d-46d0-a08c-0e47894f98c4,U-6457b777,2024-12-26 03:06:18.241496,google,email,mobile
S-01883e69-37d,GA-cef020a3-1e4a-4982-b2ad-4249bdeedaa0,,2024-12-26 05:35:25.690665,facebook,cpc,mobile
S-b3a3e8db-d7b,GA-269ddcce-ef1a-45c6-aad4-0eb7e7a47b2f,,2024-12-27 03:54:32.099991,instagram,cpc,desktop
S-853ee92b-8b7,GA-7fc7ab42-6c03-49df-852b-28f09d303c55,,2024-12-27 09:37:42.093871,newsletter,none,desktop
S-b4f02fc7-07d,GA-bbeb39af-db64-4680-951b-78ecfbcedffe,,2024-12-27 10:52:40.330820,google,none,desktop
S-09dfeebc-555,GA-aebf2ffc-c421-4678-8a90-d95ad552cb01,,2024-12-29 16:43:01.441432,google,social,desktop
S-6316694e-3af,GA-b6510695-57e9-44b2-985d-c145b9485568,U-7fe56ec3,2024-12-30 06:54:23.653041,facebook,cpc,mobile
S-9a146cdd-1f9,GA-7d2647f3-11a2-4e22-a1aa-b1bb3fb7feda,,2025-01-01 04:21:13.814228,instagram,organic,desktop
S-b15fd8ea-e9a,GA-61960747-51cd-4a7e-bf97-f8c36260caca,,2025-01-02 03:38:59.480147,google,none,desktop
S-eb1968b0-d70,GA-c97d0c14-4553-4d30-bd91-e736740bb636,,2025-01-02 05:28:32.031129,facebook,none,desktop
S-f646f27f-b1f,GA-1476d6d3-bc88-496b-aaf3-c2dc73c3b9dd,,2025-01-02 08:30:56.340624,facebook,email,desktop
S-e689fa27-5b5,GA-66fd7564-ca6e-4d92-a9ff-496981ed1cf6,,2025-01-04 21:04:18.402574,newsletter,organic,mobile
S-876ee8cb-3a0,GA-fcf44cf2-f315-40fa-913a-c2d5f1ec134c,,2025-01-05 20:21:06.364709,direct,email,desktop
S-04b8a49e-ce1,GA-40152dbf-522d-46d0-a08c-0e47894f98c4,U-6457b777,2025-01-07 03:06:18.241496,instagram,social,mobile
S-84dd7330-338,GA-aa439555-ee95-4629-93b9-8307ddf96d2b,,2025-01-07 14:06:37.188181,direct,cpc,mobile
S-927a7b48-396,GA-30af563c-c799-44fc-9568-ef3069033460,,2025-01-07 17:36:06.727276,facebook,cpc,mobile
S-0d4549db-0e6,GA-42c129a4-3563-44fb-bc26-f8053201ab87,U-520cd761,2025-01-08 07:08:27.646849,instagram,email,desktop
S-622c95d7-10e,GA-ff96ff2d-add9-4ed8-afbf-7e02f2bc9824,U-f173a0b6,2025-01-08 08:51:40.747287,facebook,social,tablet
S-703c4af6-627,GA-b7218aa1-044e-4c9c-86d1-d24f5f8a47ce,U-1ead3029,2025-01-08 21:51:32.050561,direct,social,mobile
S-f99fbdb2-248,GA-ca79fe06-c4aa-4775-ab3f-25ff13d2bb90,,2025-01-09 14:14:51.155018,direct,cpc,mobile
S-5342b72a-1ef,GA-a5ffc9bb-aedf-462c-9eba-363a492cbdd5,,2025-01-09 16:37:14.065150,direct,cpc,desktop
S-ff3e1719-ccb,GA-b3c59b20-dbb7-4fd2-9191-fcb3c8e8b7ba,U-5966c1de,2025-01-11 19:33:46.708821,direct,organic,desktop
S-c681518d-a8c,GA-e545e463-0710-4fb8-9472-3ced0f01c813,,2025-01-12 09:14:09.197934,google,social,desktop
S-9af0e99b-951,GA-fee2c5c3-03a8-4899-be41-1c9d31a0790c,,2025-01-12 13:29:53.118162,google,none,desktop
S-bdd8c773-f57,GA-0a3a7536-1678-44dd-8bcf-b58e0fc2b38c,U-a522fc92,2025-01-14 21:35:22.550337,facebook,none,tablet
S-5a4a029a-4db,GA-efbb396e-6c39-4085-bc0d-9a51488a01d9,,2025-01-15 06:52:37.378150,google,cpc,desktop
S-029157ec-ca5,GA-ff96ff2d-add9-4ed8-afbf-7e02f2bc9824,U-f173a0b6,2025-01-15 08:51:40.747287,instagram,none,tablet
S-8dde1e3a-5ba,GA-8b9076c0-21dd-4c13-88c8-528e97db0495,,2025-01-15 17:57:50.003212,direct,social,mobile
S-07b4f8f6-7fe,GA-7bd0ffca-62d1-41fd-a136-72e21e88ee19,,2025-01-15 23:13:17.379972,facebook,social,desktop
S-e7c0aa7f-a30,GA-40152dbf-522d-46d0-a08c-0e47894f98c4,U-6457b777,2025-01-17 03:06:18.241496,facebook,none,mobile
S-23b48eb5-26f,GA-0a3a7536-1678-44dd-8bcf-b58e0fc2b38c,U-a522fc92,2025-01-18 21:35:22.550337,facebook,email,tablet
S-b9e407a9-631,GA-50a76f42-eda9-4c0c-bb30-da827f400af3,,2025-01-19 19:50:36.840749,newsletter,organic,mobile
S-0d32e8ab-67c,GA-9e041301-9c3c-4b93-9cc7-0862015cd81e,,2025-01-20 11:47:23.914293,google,email,desktop
S-fe4d9a6d-3a0,GA-de759790-a9a1-4c63-af7f-8c54800b5b80,U-2130183c,2025-01-22 03:46:20.964198,google,organic,tablet
S-202743b9-9b6,GA-51d95c2d-8866-4155-8a57-85e24a31e9e1,U-2801eb32,2025-01-22 19:42:39.631101,instagram,email,tablet
S-adf0f638-13d,GA-42c129a4-3563-44fb-bc26-f8053201ab87,U-520cd761,2025-01-23 07:08:27.646849,direct,email,desktop
S-6f5d6368-c77,GA-3e6ef0fd-fc4f-4fea-9fa4-ce6a68a39f7b,,2025-01-23 16:02:31.181264,direct,social,desktop
S-2b0f515f-b0b,GA-403b5f5b-46e5-409e-bfd3-dc4636dea445,U-801c9d42,2025-01-25 00:13:34.643234,direct,none,mobile
S-9d68fd5e-633,GA-af600ad9-9c9b-4161-8e66-57f50254cd19,,2025-01-25 11:43:57.961668,facebook,organic,desktop
S-38962189-249,GA-2c94b2ba-9846-41b6-bec5-c8295774f300,U-45bb3340,2025-01-26 10:29:06.032846,newsletter,email,mobile
S-368c0505-640,GA-ed851e39-dc63-481a-b792-bf5e1992692b,U-817666d0,2025-01-27 14:38:12.877824,google,email,desktop
S-4c69100a-a29,GA-51d95c2d-8866-4155-8a57-85e24a31e9e1,U-2801eb32,2025-01-28 19:42:39.631101,direct,email,tablet
S-62b30007-64b,GA-60715964-515d-450d-8fce-8402e86712a4,,2025-01-29 03:59:26.413842,direct,social,mobile
S-a513e33d-f84,GA-7759937e-6ab1-4aa2-8592-c9ede98d5033,,2025-01-29 08:10:52.658214,newsletter,none,desktop
S-bf5c666e-4f9,GA-2c94b2ba-9846-41b6-bec5-c8295774f300,U-45bb3340,2025-01-29 10:29:06.032846,google,none,mobile
S-cc4183ed-197,GA-ed851e39-dc63-481a-b792-bf5e1992692b,U-817666d0,2025-01-29 14:38:12.877824,google,organic,desktop
S-eb89ef98-ea2,GA-51d95c2d-8866-4155-8a57-85e24a31e9e1,U-2801eb32,2025-01-29 19:42:39.631101,google,social,tablet
S-8caebb18-bef,GA-c4bc39a6-51e9-41f0-8d9f-ed889860fe68,U-fac0d3d6,2025-01-30 00:16:45.746829,newsletter,organic,desktop
S-65d109d0-fdb,GA-a4e146bd-880b-480f-99e0-1063de0b0b74,U-3595f93c,2025-01-30 15:03:37.168023,facebook,email,mobile
S-7a41ac95-155,GA-95066a1d-72b9-4e91-8f21-38cbb0bf44e4,U-a14f430b,2025-02-01 16:45:48.515059,newsletter,organic,mobile
S-d95eb75d-380,GA-e5d0e974-f154-41e3-bd98-5fb2cea3999e,,2025-02-02 01:23:48.644085,instagram,email,desktop
S-0327648c-ce2,GA-403b5f5b-46e5-409e-bfd3-dc4636dea445,U-801c9d42,2025-02-03 00:13:34.643234,instagram,none,mobile
S-45d3740e-def,GA-032d412d-4ab8-4dcf-990e-724ff62b1328,,2025-02-03 16:02:07.017706,instagram,organic,desktop
S-937cd289-e4a,GA-c4bc39a6-51e9-41f0-8d9f-ed889860fe68,U-fac0d3d6,2025-02-04 00:16:45.746829,direct,email,desktop
S-3088fdba-3c1,GA-039f8157-2d54-4160-bc7e-e74b2c72cecf,U-8db196a9,2025-02-04 12:29:09.572503,google,social,mobile
S-99d35961-13d,GA-2c94b2ba-9846-41b6-bec5-c8295774f300,U-45bb3340,2025-02-05 10:29:06.032846,direct,email,mobile
S-8e1b24e9-945,GA-231bb37a-223a-40af-8354-2a7005595e7a,,2025-02-06 04:28:52.995190,facebook,organic,desktop
S-601fd62f-7b8,GA-2c94b2ba-9846-41b6-bec5-c8295774f300,U-45bb3340,2025-02-07 10:29:06.032846,direct,organic,mobile
S-42d894af-e15,GA-039f8157-2d54-4160-bc7e-e74b2c72cecf,U-8db196a9,2025-02-07 12:29:09.572503,newsletter,organic,mobile
S-b346a474-b0b,GA-1514c614-4c72-4d19-974e-2f10a8f96d89,U-3815e02e,2025-02-07 22:52:56.982334,facebook,none,mobile
S-25aed3b9-6ee,GA-043bbdaf-cf06-471e-8491-83db5616687c,,2025-02-08 01:43:00.776622,direct,none,mobile
S-e08abd4a-fb0,GA-ff96ff2d-add9-4ed8-afbf-7e02f2bc9824,U-f173a0b6,2025-02-08 08:51:40.747287,instagram,organic,tablet
S-ce90bd8e-db3,GA-b21e62de-3d42-4146-a99f-4d7ba532ef01,,2025-02-08 16:54:51.139637,google,email,mobile
S-e74687fd-9b5,GA-de759790-a9a1-4c63-af7f-8c54800b5b80,U-2130183c,2025-02-09 03:46:20.964198,facebook,none,tablet
S-8b933576-120,GA-403b5f5b-46e5-409e-bfd3-dc4636dea445,U-801c9d42,2025-02-10 00:13:34.643234,facebook,email,mobile
S-331a19dd-7bc,GA-c4bc39a6-51e9-41f0-8d9f-ed889860fe68,U-fac0d3d6,2025-02-10 00:16:45.746829,google,email,desktop
S-7a85c40b-6b9,GA-6a2b7cea-9223-48fb-9a25-ede4a90b7cef,U-75d5471c,2025-02-10 06:51:25.896081,direct,social,mobile
S-0315db63-ab5,GA-a30ff2ab-3df7-402f-89dd-ea1994258bd3,,2025-02-10 18:48:43.996598,direct,social,desktop
S-991a2c9e-3f9,GA-629a584e-1d49-49c3-a721-0f4374b161d2,U-824cf32c,2025-02-10 23:12:06.394297,direct,social,desktop
S-3fbe1f24-6c9,GA-c0739ed3-7bd0-4cf4-bc4b-0526ac530c48,,2025-02-11 02:49:09.043566,newsletter,social,desktop
S-6da5de01-12a,GA-83c896b5-3ebe-4f3b-b791-781e807f2409,U-2b1fd3bd,2025-02-11 03:18:04.666548,direct,none,mobile
S-4a74c600-0dd,GA-3ac4aaea-9051-4e87-8b31-7f2b8eaa2645,U-10c7a140,2025-02-11 03:32:54.157520,facebook,organic,mobile
S-a71c85f6-07d,GA-826c99f0-e112-4b6b-abbb-ad6f3acea0a8,,2025-02-11 19:12:51.348165,direct,social,desktop
S-184a736f-8d3,GA-c97d0c14-4553-4d30-bd91-e736740bb636,U-2822a9b8,2025-02-12 05:28:32.031129,facebook,organic,desktop
S-1ebe2321-982,GA-4ba69081-11f5-47fb-8ee7-bd3b390473aa,,2025-02-12 18:16:17.577643,instagram,organic,desktop
S-9e77089d-639,GA-51d95c2d-8866-4155-8a57-85e24a31e9e1,U-2801eb32,2025-02-12 19:42:39.631101,google,email,tablet
S-c86e0a58-4d4,GA-ab0d5b1c-1fdf-45cb-90d0-007a7de45dda,U-2873b25f,2025-02-13 01:27:36.709422,newsletter,cpc,tablet
S-ef3144cb-3cc,GA-deb83b30-1bf5-451e-ac4a-b0c6bbc32aeb,,2025-02-13 12:24:18.779292,google,cpc,mobile
S-250c0f74-450,GA-f3af71e5-9646-4369-bc84-f36eac6bf9a1,,2025-02-14 11:01:18.386465,direct,cpc,desktop
S-6cec5592-d30,GA-17417ab4-fdea-4e92-87c0-f2cedd3c2112,,2025-02-14 11:16:57.822754,instagram,email,mobile
S-e86f7fb0-0b8,GA-ce56fe3f-f62e-4ed4-8dd8-4c89fd816aaf,,2025-02-14 22:46:52.159253,facebook,email,mobile
S-a3cb118c-fd5,GA-28b5a8fc-70ad-4187-993b-ff03b2d32dd2,,2025-02-15 22:22:15.640827,newsletter,social,mobile
S-670d0734-437,GA-039f8157-2d54-4160-bc7e-e74b2c72cecf,U-8db196a9,2025-02-16 12:29:09.572503,direct,social,mobile
S-aad44c97-a86,GA-a727df2e-1448-449c-8d4c-01aba55c6547,,2025-02-17 21:36:14.221354,instagram,cpc,desktop
S-f505fd59-569,GA-ab0d5b1c-1fdf-45cb-90d0-007a7de45dda,U-2873b25f,2025-02-18 01:27:36.709422,facebook,cpc,tablet
S-71baf294-42b,GA-8b9076c0-21dd-4c13-88c8-528e97db0495,U-93e0157a,2025-02-18 17:57:50.003212,newsletter,cpc,mobile
S-b34cef0d-af6,GA-e4d6a3d7-d43a-4032-b37a-7f670bb270e7,,2025-02-20 05:55:30.766176,google,cpc,desktop
S-5f1a0ac1-e17,GA-b6510695-57e9-44b2-985d-c145b9485568,U-7fe56ec3,2025-02-23 06:54:23.653041,google,cpc,mobile
S-94b0d451-b10,GA-9e51bd9b-7599-4e6e-af00-96af517b72fb,,2025-02-24 10:58:06.170564,facebook,none,mobile
S-9524380c-d26,GA-8b9076c0-21dd-4c13-88c8-528e97db0495,U-93e0157a,2025-02-24 17:57:50.003212,facebook,none,mobile
S-b5b9c13c-980,GA-e4f9d294-1069-454b-87a7-6ae2170564be,,2025-02-25 07:05:29.726922,facebook,none,mobile
S-f6d23458-4ae,GA-48098fb1-5e21-4b5c-8b5b-b2c893561d45,,2025-02-25 12:02:02.375681,newsletter,cpc,desktop
S-c8c04d3c-af5,GA-bc0ccd69-9b0c-4f9d-8c93-4df89d1f40b7,U-1a9b21f3,2025-02-25 20:34:04.669422,instagram,organic,tablet
S-31fc24a4-f2b,GA-d20a9784-8d58-42af-a587-ff554c4b59f7,,2025-02-25 22:54:17.159847,newsletter,email,desktop
S-d21a486e-287,GA-28c360db-1716-465a-9c58-962a7953cdac,,2025-02-26 05:50:49.530175,google,email,mobile
S-34a15f1f-30e,GA-42e96a05-dc42-4502-9e18-e1abaf680a7d,,2025-02-26 06:52:01.102478,direct,social,mobile
S-a472ab99-bd4,GA-713eecd4-4e7f-41b2-ba0e-f21f7d01a9f9,,2025-02-26 15:00:09.574672,facebook,organic,desktop
S-1048c5ce-ddf,GA-629a584e-1d49-49c3-a721-0f4374b161d2,U-824cf32c,2025-02-27 23:12:06.394297,google,cpc,desktop
S-ecfc082a-fd2,GA-4e68c070-7fdc-43f0-8bb6-8425ce540d8d,,2025-02-28 05:46:26.532065,google,none,desktop
S-124b639e-846,GA-039f8157-2d54-4160-bc7e-e74b2c72cecf,U-8db196a9,2025-02-28 12:29:09.572503,direct,email,mobile
S-2026ada9-738,GA-25dfd354-119e-4255-a1ea-917fdc02696d,,2025-03-01 11:09:21.119011,facebook,social,mobile
S-b5b31235-7ec,GA-4527f423-3334-44fe-82ce-882fe292440b,,2025-03-02 20:57:29.057745,direct,none,desktop
S-0db9cc1a-0e1,GA-ed851e39-dc63-481a-b792-bf5e1992692b,U-817666d0,2025-03-04 14:38:12.877824,google,none,desktop
S-6cc61903-c35,GA-1514c614-4c72-4d19-974e-2f10a8f96d89,U-3815e02e,2025-03-04 22:52:56.982334,newsletter,organic,mobile
S-4722363a-629,GA-320c3df7-551e-4f32-9875-078474c8a22b,,2025-03-05 15:52:28.271470,instagram,organic,mobile
S-f853f0c9-9e4,GA-1e7aac75-510f-429c-be01-ea7eb3b061dd,,2025-03-05 18:05:16.211043,newsletter,cpc,mobile
S-8c5854aa-4f2,GA-acf073ea-52ae-4d87-b6b8-9720513acdd2,,2025-03-05 21:34:11.116352,google,organic,mobile
S-0869828a-227,GA-629a584e-1d49-49c3-a721-0f4374b161d2,U-824cf32c,2025-03-05 23:12:06.394297,facebook,social,desktop
S-50f8deca-22a,GA-49daccc4-1bea-4155-abef-a00bfc922a56,,2025-03-07 07:08:30.164416,instagram,organic,desktop
S-8a094286-4fc,GA-373c6a78-4a3a-4902-a250-456aa7d8a5d8,U-8faa1d4f,2025-03-07 07:10:38.665469,instagram,email,mobile
S-4bffb868-779,GA-7a0a7c58-e828-44dc-9419-0585e54dd81e,U-034b8e04,2025-03-07 07:39:12.243149,facebook,none,tablet
S-cbff73b0-30c,GA-fe9030b9-e4fd-4c45-8bfb-cce0d8369db5,,2025-03-08 11:52:24.741104,instagram,social,mobile
S-b34ecf30-672,GA-8b9076c0-21dd-4c13-88c8-528e97db0495,U-93e0157a,2025-03-08 17:57:50.003212,instagram,email,mobile
S-3ac4e5e5-0a5,GA-e4391c67-b5dd-4491-9af5-647d1841e3d9,,2025-03-08 18:16:35.697845,direct,cpc,desktop
S-334944a1-c92,GA-373c6a78-4a3a-4902-a250-456aa7d8a5d8,U-8faa1d4f,2025-03-09 07:10:38.665469,facebook,email,mobile
S-6becb473-830,GA-c8778b4f-3459-4342-9a39-49e83ef4f70d,,2025-03-09 23:01:32.400367,direct,social,mobile
S-cdec62b1-199,GA-159d63f6-4209-41a7-801f-36f081da986d,,2025-03-10 01:45:26.306577,newsletter,none,mobile
S-dce50d3c-d57,GA-79550595-5aa5-4249-af34-7fcfc2b43006,,2025-03-10 04:08:48.061629,instagram,email,desktop
S-e4949c6c-320,GA-7a0a7c58-e828-44dc-9419-0585e54dd81e,U-034b8e04,2025-03-10 07:39:12.243149,instagram,cpc,tablet
S-e742cdeb-ab9,GA-1ff4a095-817f-4b4d-8d32-e74bc2c7c5bc,,2025-03-11 01:01:13.002096,newsletter,organic,desktop
S-f2aefdb0-bc3,GA-a2c458de-a5ca-473d-af0a-8d8c5f17de60,U-8f65959c,2025-03-11 11:50:40.264770,newsletter,none,tablet
S-5dfe8b93-f04,GA-2eeaa471-4aa0-4828-a7e6-8b5a5411fdce,U-3e98ae85,2025-03-12 10:47:04.930683,direct,organic,tablet
S-c9c4bd3c-6db,GA-e7c7a52a-6ed9-4cde-9fac-5c2e72c8e242,U-749bf04b,2025-03-13 02:13:41.561258,direct,none,desktop
S-68cb6f97-e6d,GA-e003ef04-eb64-4ee6-a54e-196d9d7c5485,U-2746239f,2025-03-13 15:34:09.770477,facebook,social,desktop
S-21c30716-6d8,GA-e7c7a52a-6ed9-4cde-9fac-5c2e72c8e242,U-749bf04b,2025-03-14 02:13:41.561258,newsletter,none,desktop
S-9762583a-028,GA-a1e78069-7e1d-4141-ad30-0600a2527cf7,,2025-03-14 04:36:20.364372,google,organic,mobile
S-8ca28f5b-ba0,GA-722e6827-97fc-49f7-8d3b-36a5790d3f1e,U-4470b40e,2025-03-14 08:17:48.105218,google,email,mobile
S-c3974ae1-fef,GA-629a584e-1d49-49c3-a721-0f4374b161d2,U-824cf32c,2025-03-14 23:12:06.394297,newsletter,email,desktop
S-5e103c17-857,GA-7a0a7c58-e828-44dc-9419-0585e54dd81e,U-034b8e04,2025-03-15 07:39:12.243149,newsletter,cpc,tablet
S-f52fc1aa-071,GA-379a53f3-3f5d-4962-b375-5ef9c3155760,,2025-03-16 21:39:32.655645,google,cpc,desktop
S-cbd9c189-316,GA-ed28c0c5-43c2-4acd-b526-a1308482a949,U-6c9f0768,2025-03-17 13:04:08.962465,newsletter,organic,mobile
S-68abf5d5-2b1,GA-bb2b789d-55d7-4e30-80f4-5b06f34dd47a,U-715c20f9,2025-03-18 16:27:06.655177,instagram,cpc,desktop
S-30d7cf3a-624,GA-8b9076c0-21dd-4c13-88c8-528e97db0495,U-93e0157a,2025-03-18 17:57:50.003212,newsletter,social,mobile
S-cbf1dfc3-9f0,GA-90c19381-33e8-4096-9701-3f06b2879b91,,2025-03-19 03:57:23.491615,google,none,mobile
S-6eea8c0e-1fc,GA-d6b32b94-7b03-4547-9b1a-78bd173b5166,,2025-03-20 00:29:38.348517,newsletter,organic,mobile
S-a199d9ff-649,GA-7ca2df42-6b03-4daa-90fb-0c6146c8ff28,,2025-03-20 11:46:10.103393,facebook,email,mobile
S-b9651a49-560,GA-4569f592-f481-47a2-b088-790c86d34eef,,2025-03-20 16:40:08.414182,direct,email,desktop
S-e9df4f18-698,GA-02af0cac-09a0-4954-a444-03fadcf65431,,2025-03-21 22:42:28.983180,direct,organic,desktop
S-a5cbbc9f-5b2,GA-c0e97b2e-81d0-4ae4-bcac-63ac5d945c23,,2025-03-22 02:36:30.443294,direct,email,desktop
S-36f5b93d-999,GA-ac0c48e1-ad95-409c-9db3-8dec762b5481,,2025-03-22 11:58:28.757256,instagram,email,mobile
S-dff2be15-06e,GA-d52f5431-59f4-420e-abc1-760ba59357a0,,2025-03-23 12:20:24.632835,google,organic,mobile
S-18def08c-838,GA-95066a1d-72b9-4e91-8f21-38cbb0bf44e4,U-a14f430b,2025-03-24 16:45:48.515059,direct,organic,mobile
S-3e333d65-c65,GA-5312929c-0710-478f-86a3-1dd62f14dc6a,,2025-03-24 19:44:29.666852,facebook,email,desktop
S-62a1ef27-967,GA-bc0ccd69-9b0c-4f9d-8c93-4df89d1f40b7,U-1a9b21f3,2025-03-25 20:34:04.669422,facebook,none,tablet
S-65ec82f6-06e,GA-c4bc39a6-51e9-41f0-8d9f-ed889860fe68,U-fac0d3d6,2025-03-27 00:16:45.746829,facebook,organic,desktop
S-c33fb438-57e,GA-d9231643-2255-4744-9be0-f43d4d1d4f6b,U-de5d5623,2025-03-28 02:17:54.679780,instagram,none,tablet
S-9c0f3039-269,GA-e7c7a52a-6ed9-4cde-9fac-5c2e72c8e242,U-749bf04b,2025-03-29 02:13:41.561258,google,organic,desktop
S-c8cafce0-b11,GA-6b46f0ef-06b5-43b5-9644-622de430f982,U-24ba9e3b,2025-03-31 07:44:42.113021,direct,cpc,tablet
S-3bff97da-d5f,GA-dc8edf04-8595-4e90-bfec-ffe79ce7b5e2,,2025-03-31 14:34:23.962784,google,organic,mobile
S-ed97783d-3ee,GA-2826be67-160d-4b76-ba07-8af966132b6d,,2025-03-31 18:54:59.993356,newsletter,none,mobile
S-ec80c515-532,GA-d20a9784-8d58-42af-a587-ff554c4b59f7,U-8a6af77b,2025-03-31 22:54:17.159847,newsletter,social,desktop
S-129fffb3-913,GA-e7c7a52a-6ed9-4cde-9fac-5c2e72c8e242,U-749bf04b,2025-04-02 02:13:41.561258,instagram,social,desktop
S-8922655d-d3f,GA-97d37afd-0d57-45fc-b6c3-dd9254a2b2fc,,2025-04-02 03:33:50.918257,newsletter,social,mobile
S-6b5f8ddd-1d1,GA-e783cced-b6ca-4519-bffa-145e6f551ccd,,2025-04-02 22:37:07.844786,facebook,none,desktop
